keys,es
Jan,ene
Feb,feb
Mar,mar
Apr,abr
May,mayo
Jun,jun
Jul,jul
Aug,ago
Sep,sep
Oct,oct
Nov,nov
Dec,dic
Sunday,Domingo
Monday,Lunes
Tuesday,Martes
Wednesday,Miércoles
Thursday,Jueves
Friday,Viernes
Saturday,Sábado
Kanto League,Liga Kanto
Johto League,Liga Johto
Indigo League,Liga Añil
Indigo Cup,Copa Añil
Indigo Champion,Campeón Añil
Championship Series,Serie del Campeonato
First Round,Primera ronda
Second Round,Segunda ronda
Quarter-Final,Cuartos de final
Semi-Final,Semifinal
Final,Final
Round %d,Ronda %d
Matchday %d,Jornada %d
Matchday,Jornada
Week %d,Semana %d
%s · Week %d,%s · Semana %d
Season %d,Temporada %d
Inbox,Bandeja
Squad,Plantilla
Tactics,Táctica
Match,Partido
Competition,Competición
Transfers,Traspasos
Items,Objetos
Training,Entrenamiento
Academy,Academia
Settings,Ajustes
Board & Finances,Directiva y finanzas
Schedule,Programa
Individual,Individual
Coaches,Entrenadores
Mentoring,Mentoría
Development,Desarrollo
Recruitment,Fichajes
Search,Buscar
Scouting,Ojeo
Transfer Centre,Centro de traspasos
Display,Pantalla
Audio,Audio
Gameplay,Juego
Language,Idioma
Fixtures & Results,Partidos y resultados
Overall,General
Cancel,Cancelar
Close,Cerrar
Back,Atrás
Confirm,Confirmar
Apply,Aplicar
None,Ninguno
Yes,Sí
No,No
Club,Club
Manager,Entrenador jefe
Balance,Saldo
Wages,Salarios
Level,Nivel
Age,Edad
Morale,Moral
Fitness,Forma
Condition,Estado
Contract,Contrato
Salary,Salario
Expiry,Vencimiento
Position,Posición
Points,Puntos
Played,Jugados
Wins,Victorias
Losses,Derrotas
Result,Resultado
Opponent,Rival
Home,Local
Away,Visitante
Date,Fecha
Today,Hoy
TODAY,HOY
tomorrow,mañana
in %d days,en %d días
Lv %d,Nv. %d
HP,PS
Attack,Ataque
Defense,Defensa
Sp. Atk,At. Esp.
Sp. Def,Def. Esp.
Speed,Velocidad
Normal,Normal
Fire,Fuego
Water,Agua
Grass,Planta
Electric,Eléctrico
Ice,Hielo
Fighting,Lucha
Poison,Veneno
Ground,Tierra
Flying,Volador
Psychic,Psíquico
Bug,Bicho
Rock,Roca
Ghost,Fantasma
Dragon,Dragón
Dark,Siniestro
Steel,Acero
Fairy,Hada
Burned,Quemado
Paralyzed,Paralizado
Asleep,Dormido
Poisoned,Envenenado
Frozen,Congelado
Confused,Confuso
Fainted,Debilitado
Sunny,Sol
Rain,Lluvia
Sandstorm,Tormenta de arena
Hail,Granizo
COMMUNICATION,COMUNICACIÓN
SQUAD,PLANTILLA
MATCHDAY,JORNADA
CLUB,CLUB
MORE,MÁS
NEXT MATCH ›,PRÓX. PARTIDO ›
BALANCE ›,SALDO ›
DATE ›,FECHA ›
CONTINUE  ›,CONTINUAR  ›
MATCHDAY  ›,JORNADA  ›
%s  ADVANCING,%s  AVANZANDO
Advance %d days,Avanzar %d días
vs %s · go to match,vs %s · ir al partido
Matchday vs %s,Jornada: vs %s
Advance %d days · vs %s,Avanzar %d días · vs %s
No fixtures left,No quedan partidos
SEASON COMPLETE,TEMPORADA COMPLETADA
vs %s (H),vs %s (L)
vs %s (A),vs %s (V)
T. budget %s%s · wages %s%s/w,Presup. %s%s · salarios %s%s/sem
CS %s,SC %s
Save Game,Guardar partida
Load Game,Cargar partida
New Career,Nueva carrera
Load,Cargar
"Reload the last saved career?
Unsaved progress will be lost.","¿Recargar la última partida guardada?
Se perderá el progreso no guardado."
